Species,long,lat
D. rubiformis,149.1069,-35.2788
D. rubiformis,150.6747,-35.1444
D. rubiformis,148.4129,-32.9802
D. rubiformis,145.8763,-35.324
D. rubiformis,149.9236,-34.7471
D. rubiformis,151.5751,-31.1334
D. rubiformis,148.1972,-33.1499
D. rubiformis,152.1115,-29.6278
D. rubiformis,150.5279,-33.705
D. rubiformis,150.8887,-33.9491
D. rubiformis,117.2252,-34.9918
D. rubiformis,116.066,-32.7963
D. rubiformis,150.1816,-35.7101
D. rubiformis,150.1641,-35.741
D. rubiformis,149.1765,-35.2221
D. rubiformis,150.3069,-33.6305
D. rubiformis,149.8821,-35.4782
D. rubiformis,150.8465,-33.9978
D. rubiformis,150.8779,-33.9533
D. rubiformis,149.9792,-36.1761
D. rubiformis,150.5236,-34.7354
D. rubiformis,150.0483,-35.572
D. rubiformis,150.1239,-33.4709
D. rubiformis,150.0181,-34.6995
D. rubiformis,150.4346,-34.4537
D. rubiformis,150.5914,-34.9777
D. rubiformis,150.2986,-34.5826
D. rubiformis,150.0064,-36.1178
D. rubiformis,150.6689,-35.159
D. rubiformis,148.942,-32.5425
D. rubiformis,150.1175,-35.6415
D. rubiformis,150.8973,-34.3924
D. rubiformis,138.4306,-35.4975
D. rubiformis,138.6346,-35.4248
D. rubiformis,147.1423,-41.4558
D. rubiformis,148.2541,-41.8512
D. rubiformis,148.3072,-41.8768
D. rubiformis,148.0685,-42.008
D. rubiformis,147.907,-42.5432
D. rubiformis,148.1513,-41.9716
D. rubiformis,147.1658,-41.4942
D. rubiformis,147.2316,-41.4444
D. rubiformis,148.152,-41.9672
D. rubiformis,147.869,-42.559
D. rubiformis,147.1341,-41.4729
D. rubiformis,148.2052,-41.8674
D. rubiformis,148.2541,-41.3362
D. rubiformis,147.9468,-42.3267
D. rubiformis,148.0645,-42.0946
D. rubiformis,144.8267,-37.7249
D. rubiformis,143.6678,-37.4945
D. rubiformis,145.3139,-38.5626
D. rubiformis,145.1628,-37.7524
D. rubiformis,146.7945,-36.0844
D. rubiformis,145.1755,-38.3391
D. rubiformis,145.1276,-37.993
D. rubiformis,142.2765,-37.08
D. rubiformis,142.2725,-37.0747
D. rubiformis,145.3213,-38.508
D. rubiformis,143.0732,-37.3233
D. rubiformis,142.3359,-37.0364
D. rubiformis,145.2355,-37.9216
D. rubiformis,142.54,-36.9361
D. rubiformis,117.8866,-34.9713
D. rubiformis,117.8845,-34.9702
D. rubiformis,115.1525,-34.3063
D. rubiformis,117.3565,-34.9624
D. rubiformis,116.0595,-32.3362
D. rubiformis,116.0287,-32.3154
D. rubiformis,116.0383,-32.0131
D. rubiformis,116.0458,-32.0106
D. rubiformis,116.0614,-31.9914
D. rubiformis,116.1786,-31.9454
D. rubiformis,116.0188,-31.8932
D. rubiformis,117.5248,-34.567
D. rubiformis,117.6598,-34.6277
D. rubiformis,115.7626,-34.0036
D. rubiformis,116.1067,-34.4123
D. rubiformis,115.6575,-32.7485
D. rubiformis,150.4198,-33.7242
D. rubiformis,150.9837,-33.4044
D. rubiformis,150.0053,-35.2373
D. rubiformis,150.9936,-33.4605
D. rubiformis,149.8342,-34.7371
D. rubiformis,150.47,-34.438
D. rubiformis,150.6514,-33.7604
